Month of Date Time,
January 2013,11
February 2013,9
March 2013,8
April 2013,10
May 2013,17
June 2013,11
July 2013,3
August 2013,10
September 2013,10
October 2013,13
November 2013,8
December 2013,10
January 2014,12
February 2014,12
March 2014,16
April 2014,17
May 2014,15
June 2014,12
July 2014,21
August 2014,10
September 2014,18
October 2014,16
November 2014,11
December 2014,14
January 2015,15
February 2015,10
March 2015,14
April 2015,5
May 2015,3
June 2015,12
July 2015,17
August 2015,40
September 2015,23
October 2015,17
